PLACE, POPULATION, LATITUDE, LONGITUDE, ALTITUDE, THROUGHPUT_REQUIRED_PER_USER
Talasari, 154818, 20.09999667100044, 72.91666646800053, 61.30241775512695, 1
Sambha, 4881, 18.410086130000423, 73.2014776950005, 16.62127685546875, 1
Achchhad, 2770, 20.21271032900046, 72.87626017700052, 54.9876823425293, 1
Kajali, 1019, 18.566586742000425, 73.8501176360005, 564.0420532226562, 1
Upalat, 10893, 20.212780089000432, 72.91720002900053, 33.63068389892578, 1
Bormal, 1661, 20.204200324000453, 72.94729007000052, 36.88150405883789, 1
Masanpada , 1264, 20.179520240000443, 72.95717000500053, 44.92630386352539, 1
Ambeshetgaon, 1114, 20.204200324000453, 72.94729007000052, 36.88150405883789, 1
Kochai, 3539, 20.004429651000464, 73.75454611700053, 604.0519409179688, 1
Thakarpada, 1278, 20.191210019000437, 72.87602028800052, 38.55874633789062, 1
Dongari, 5581, 18.95851996300047, 72.8382879240005, 13.92781925201416, 1
Ghimniye, 3722, 21.133859861000474, 79.0739500840005, 309.7752685546875, 1
Girgaon, 2735, 18.95578870500043, 72.81192926300048, 9.81965446472168, 1
Dolharpada, 3588, 20.148160283000436, 72.8353900840005, 29.09533500671387, 1
Kharadpada , 730, 19.51666843400045, 72.7666677790005, 7.319987297058105, 1
Vilatgaon , 850, 20.172960311000452, 72.86268011600049, 78.13251495361328, 1
Varwade, 5877, 21.356618161000426, 74.88440935500051, 166.1704406738281, 1
Sawroli, 3341, 18.45867731800047, 72.98135722800049, 4.922543525695801, 1
Anwir, 3604, 18.397568241000442, 77.10765756900054, 639.668701171875, 1
Ibhadpada, 1248, 20.155560180000464, 72.90034018200049, 84.53734588623047, 1
Patilpada, 3000, 19.25472140000045, 72.97975932200052, 15.71223735809326, 1
Zari, 4602, 16.829178416000445, 74.64806782800053, 565.9656982421875, 1
Vevaji, 2672, 20.14822789100043, 72.80272757900053, 29.31608963012695, 1
Borigaon, 940, 16.599995753000428, 74.49999946700052, 556.976318359375, 1
Brahmanpada, 2571, 19.23999519600045, 72.9813544530005, 37.00711822509766, 1
Baradi, 3418, 19.026819402000456, 72.85917957000049, 12.12901592254639, 1
Karajgaon, 1849, 19.482588458000464, 74.79746807000049, 491.4598693847656, 1
Vasa, 6024, 19.34325832200045, 72.80584580200053, 7.140304565429688, 1
Awarpada, 1562, 20.12688028700046, 72.87693001500048, 43.61581802368164, 1
Thakarpada , 5054, 20.191210019000437, 72.87602028800052, 38.55874633789062, 1
Khunavade, 1636, 20.072730173000423, 72.7965401830005, 53.95141220092773, 1
Gholwad, 4403, 20.08727630000044, 72.73123792300049, 13.18380165100098, 1
Vikasnagar, 1630, 18.52954602900047, 73.99557622800052, 545.8703002929688, 1
Chikhale, 4534, 21.132178077000447, 79.09726851500051, 304.0527954101562, 1
Naraliwadi, 920, 20.039850089000424, 72.75567009100052, 23.2713737487793, 1
Chimbave, 1339, 21.133859861000474, 79.0739500840005, 309.7752685546875, 1
Ambewadi, 1018, 18.957687537000425, 72.80621926900051, 51.58980178833008, 1
Narpad, 2759, 18.506836544000464, 73.87984649800052, 579.790771484375, 1
Thakurwadi, 935, 18.816665551000426, 73.36666703600054, 331.7218933105469, 1
Waki, 2260, 18.516668172000436, 73.5166657260005, 667.7369995117188, 1
Kainad, 5706, 20.266666381000448, 75.13332726700048, 639.7830200195312, 1
Ambesari, 5690, 19.833327834000443, 75.13332726700048, 522.1217041015625, 1
Sogwe, 2485, 21.133859861000474, 79.0739500840005, 309.7752685546875, 1
Kosbad, 4479, 19.743029847000457, 72.95608747000051, 22.1351203918457, 1
Nandare, 444, 19.109679549000475, 72.84843902300048, 13.87679481506348, 1
Kasara, 1954, 19.633329582000442, 73.48332818400053, 233.4176330566406, 1
Lashkari, 967, 18.706465830000468, 76.92640915200053, 508.7265930175781, 1
Kankradi, 1769, 19.993180308000433, 72.76047000400052, 18.0, 1
Raipada, 1964, 19.469305637000446, 72.86267575900052, 23.18265533447266, 1
Junnarpada, 3245, 19.997870243000477, 72.78924030000053, 27.99486923217773, 1
Paraswadi, 1399, 19.866219916000432, 75.37290850700049, 594.9312133789062, 1
Vasantwadi, 2009, 18.94738795100045, 72.82877576800053, 17.07922744750977, 1
Gaurwadi, 1844, 19.236435769000423, 72.81869655800051, 2.0, 1
Asave, 1841, 19.02229730400046, 72.85230867900049, 12.50062370300293, 1
Diwashi, 1380, 19.19572672400045, 72.84009260900052, 12.66550159454346, 1
Dabhadi, 2099, 21.549997501000462, 74.44999990400049, 135.5414123535156, 1
Kinhawali, 2163, 19.35421934900046, 73.47925604500051, 77.51848602294922, 1
Vyahali, 517, 20.04697023400047, 73.03157008800054, 177.3649291992188, 1
Raipur, 2782, 21.083325912000475, 73.83332962600053, 186.1595001220703, 1
Modgaon, 5360, 21.133859861000474, 79.0739500840005, 309.7752685546875, 1
Halapada, 3582, 20.061240064000458, 72.92683010900049, 88.13960266113281, 1
Dhundalwadi, 2059, 20.059620280000445, 72.90451012000051, 65.17222595214844, 1
Pardi, 632, 19.881019102000437, 75.3241373350005, 566.1211547851562, 1
Bramhanwadi, 871, 18.961902620000444, 72.81808901200048, 8.0, 1
Ghadane, 1202, 18.57282106800045, 73.8196512020005, 559.9720458984375, 1
Jingaon, 1493, 20.05950033600044, 72.8561401180005, 47.40536117553711, 1
Gangangaon, 3224, 18.559695146000422, 73.78770221600053, 570.4196166992188, 1
Bodgaon, 495, 20.034960128000478, 72.86594032700049, 58.62237930297852, 1
Nagzari, 3720, 19.597566755000457, 78.26168816300049, 339.6460876464844, 1
Talothe, 529, 19.11150356000047, 72.84110280200053, 13.61049556732178, 1
Punjave, 467, 18.493253662000427, 73.90333206700052, 589.7189331054688, 1
