Tembhe,8402,19.6482,73.297,176.038,0.0644587
Firangpada,8788,19.313,72.9898,161.493,0.0616274
Belwad,9116,19.6464,73.2869,173.625,0.0594101
Depoli,9751,19.406,73.0464,48.3294,0.0555407
Borivali  Tarf Sonale,14369,19.3336,73.1355,37.1381,0.0376906
Mhaskal,16712,19.2836,73.246,50,0.0324065
Mainde,17712,19.4703,73.1803,63.8126,0.0305769
Asole,19416,19.2715,73.3296,73,0.0278934
Kelhe,19560,19.4756,73.2028,88.8735,0.0276881
Khor,19800,19.5054,73.236,120.72,0.0273526
Panshet,20478,19.3587,73.6801,196,0.0264471
Gondade,22092,19.4514,73.1611,51.0049,0.0245146
Base,23236,19.4597,73.1523,57.3156,0.0233077
Kelni,23481,19.264,73.2795,70.2137,0.0230645
Gondravali,23922,19.4451,73.1137,47.7214,0.0226393
Alkhivali,24217,19.3468,73.0433,138.338,0.0223637
Pahare,24760,19.4592,73.0907,39.8349,0.021873
Mohaghar,25918,19.1575,73.3892,147,0.020896
Khupari,26014,19.5739,73.0888,60.3108,0.0208187
Abitghar,26524,19.3274,73.3358,82.2891,0.0204184
Vehare,28394,19.2186,73.3948,114,0.0190738
Arele,28509,19.343,73.2618,62.0308,0.0189967
Vadvali Tarf  Sonale,29515,19.3807,73.1405,50.9191,0.0183492
Bandhivali,29809,19.1913,73.4976,153,0.0181684
Budhavali,30909,19.5491,73.0708,58.4358,0.0175217
Bavali,30999,19.5806,73.1556,92.238,0.0174709
Babare,33844,19.4998,73.5211,190,0.0160023
Tilgaon,33931,19.5635,73.1539,73.4717,0.0159612
Vehloli Bk.,35496,19.4466,73.4868,127.587,0.0152575
Shendrun,35761,19.3622,73.3732,106.561,0.0151444
Dongaste,37742,19.5214,73.082,48.748,0.0143494
Shiroshi,38162,19.4,73.6167,180.246,0.0141917
Kalamkhande,43535,19.2433,73.4442,118,0.0124401
Vidhe,43972,19.2247,73.495,131,0.0123165
Dehari,46508,19.2057,73.5325,168,0.0116449
Sonavale,47423,19.1574,73.312,158,0.0114202
Apate,48643,19.4065,73.5417,143.337,0.0111338
Dudhanoli,49203,19.2186,73.5683,195,0.0110071
Shei,50541,19.3584,73.3031,73.0387,0.0107156
Katbao,53917,19.4329,73.2424,67.5004,0.0100447
Bohonoli,214445,19.1512,73.1859,77.0746,0.00252549
Ambivali  Tarf   Chon,229440,19.2066,73.2205,97.6024,0.00236044
Bhuwan,273472,19.2194,73.0926,137,0.00198039
Umbarkhand,365932,19.5544,73.3693,193.897,0.00148001
Palheri,375822,19.5223,73.4166,184.64,0.00144106
Chandroti,390722,19.4643,73.285,95.2067,0.0013861
Pundhe,394153,19.4805,73.332,121.409,0.00137404
Kanvinde,396589,19.5185,73.3299,168.121,0.0013656
